,fdc_id,food,category,"Calcium, Ca","Carotene, beta",Cholesterol,"Choline, total",Energy,"Fiber, total dietary","Folate, total",Histidine,"Iron, Fe",Isoleucine,Leucine,Lysine,"Magnesium, Mg",Methionine,Niacin,PUFA 18:2,PUFA 18:3,Pantothenic acid,Phenylalanine,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Threonine,Total lipid (fat),Tryptophan,Valine,"Vitamin A, RAE",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin K (phylloquinone),"Zinc, Zn"
13,167759,"Sapodilla, raw",Fruits and Fruit Juices,2.210526315789474,,0.0,,2.9642857142857144,21.2,4.0,2.2857142857142856,4.444444444444445,1.0714285714285714,0.879120879120879,1.857142857142857,3.4285714285714284,0.2857142857142857,1.0822510822510822,0.13749999999999998,0.0,5.04,0.7428571428571428,2.1818181818181817,5.514285714285714,0.7573149741824441,1.25,0.8571428571428571,0.5,0.0,1.1428571428571428,1.0102040816326534,1.7857142857142856,0.879120879120879,0.4,2.176470588235294,13.363636363636363,,0.5585800311411078
14,167760,"Sapote, mamey, raw",Fruits and Fruit Juices,1.894736842105263,0.9111111111111111,0.0,,4.428571428571429,21.6,2.0,7.0,4.333333333333333,4.357142857142857,2.6739926739926734,3.476190476190476,3.142857142857143,2.2857142857142856,7.748917748917748,0.13749999999999998,2.0500000000000003,7.94,3.485714285714285,4.7272727272727275,12.971428571428572,2.4956970740103275,7.250000000000001,,0.2916666666666667,1.1607142857142856,8.095238095238095,0.4224489795918368,17.5,4.01098901098901,0.9333333333333333,42.35294117647059,20.90909090909091,,1.0613020591681048
15,167761,"Soursop, raw",Fruits and Fruit Juices,1.4736842105263157,0.011111111111111112,0.0,1.9,2.357142857142857,13.2,4.0,,3.3333333333333335,,,2.857142857142857,6.0,0.6666666666666667,4.87012987012987,0.8625,0.0,5.0600000000000005,,4.909090909090909,7.942857142857143,1.7211703958691913,3.125,0.8571428571428571,0.5833333333333334,6.25,,0.2755102040816327,3.928571428571428,,0.0,3.4705882352941173,18.727272727272727,0.5714285714285714,0.5585800311411078
16,167762,"Strawberries, raw",Fruits and Fruit Juices,1.6842105263157894,0.07777777777777778,0.0,1.425,1.1428571428571428,8.0,6.857142857142857,1.714285714285714,2.2777777777777777,1.1428571428571428,1.2454212454212454,1.2380952380952381,3.7142857142857144,0.19047619047619047,2.088744588744589,1.125,1.625,2.5,1.0857142857142856,4.363636363636363,4.371428571428571,1.1531841652323582,1.3749999999999998,0.5714285714285714,0.041666666666666664,2.142857142857143,1.9047619047619047,0.2755102040816327,2.857142857142857,1.0439560439560438,0.13333333333333333,2.7647058823529416,53.45454545454545,3.1428571428571432,0.782012043597551
17,167763,"Tamarinds, raw",Fruits and Fruit Juices,7.7894736842105265,0.2,0.0,2.15,8.535714285714286,20.4,4.0,,15.555555555555555,,,6.6190476190476195,26.285714285714285,1.3333333333333335,10.487012987012985,0.7374999999999999,0.0,2.86,,20.545454545454547,17.942857142857143,4.819277108433735,9.499999999999998,1.8571428571428572,1.1666666666666667,38.21428571428571,,0.5510204081632654,6.428571428571427,,0.26666666666666666,3.882352941176471,3.1818181818181817,4.0,0.5585800311411078
18,167765,"Watermelon, raw",Fruits and Fruit Juices,0.7368421052631579,3.3666666666666667,0.0,1.025,1.0714285714285714,1.6,0.8571428571428571,0.857142857142857,1.3333333333333333,1.357142857142857,0.6593406593406592,2.9523809523809526,2.857142857142857,0.5714285714285714,0.9632034632034632,0.625,0.0,4.42,0.857142857142857,2.0,3.2,1.0499139414802066,1.3125,0.5714285714285714,0.041666666666666664,2.946428571428571,2.5714285714285716,0.13775510204081634,2.5,0.879120879120879,3.7333333333333334,2.6470588235294117,7.363636363636363,0.14285714285714285,0.5585800311411078
19,167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,0.9473684210526315,0.15555555555555556,,1.275,2.25,12.4,1.7142857142857142,0.2857142857142857,1.0555555555555556,0.857142857142857,0.7326007326007324,0.857142857142857,1.7142857142857142,0.19047619047619047,0.8874458874458876,,,0.8400000000000001,0.6285714285714284,2.0,2.8857142857142857,0.6712564543889846,1.625,0.14285714285714285,0.041666666666666664,1.0714285714285714,1.1428571428571428,0.1469387755102041,0.7142857142857143,0.9890109890109887,0.13333333333333333,1.5294117647058825,4.000000000000001,5.428571428571429,0.44686402491288624
20,167777,"Pears, raw, red anjou",Fruits and Fruit Juices,1.1578947368421053,0.15555555555555556,,1.275,2.2142857142857144,12.0,2.0,0.14285714285714285,1.0555555555555556,0.7142857142857142,0.6227106227106227,0.7142857142857143,2.0,0.19047619047619047,0.8766233766233765,,,1.06,0.5714285714285714,2.3636363636363638,3.5142857142857142,0.5679862306368331,1.75,0.14285714285714285,0.041666666666666664,1.0714285714285714,0.9523809523809523,0.12857142857142861,0.35714285714285715,0.824175824175824,0.13333333333333333,2.2941176470588234,4.7272727272727275,7.000000000000001,0.7261540404834401
21,167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,1.0526315789473684,0.12222222222222222,,1.275,2.392857142857143,12.4,2.0,0.14285714285714285,0.8333333333333334,0.7857142857142856,0.6593406593406592,0.7619047619047619,2.0,0.19047619047619047,0.8225108225108224,,,1.1400000000000001,0.5714285714285714,2.5454545454545454,3.4857142857142858,0.6196213425129088,1.4374999999999998,0.0,0.041666666666666664,1.0714285714285714,1.0476190476190474,0.08265306122448982,0.7142857142857143,0.879120879120879,0.13333333333333333,1.2352941176470589,2.5454545454545454,7.428571428571429,0.7261540404834401
22,167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,1.1578947368421053,0.15555555555555556,,1.275,2.357142857142857,12.4,2.5714285714285716,0.2857142857142857,1.3333333333333333,0.9285714285714285,0.8058608058608057,0.9523809523809523,2.0,0.2857142857142857,0.8170995670995671,,,0.86,0.7428571428571428,2.3636363636363638,3.6285714285714286,0.7573149741824441,1.3749999999999998,0.0,0.041666666666666664,0.8928571428571428,1.3333333333333335,0.09183673469387757,0.7142857142857143,1.0989010989010988,0.13333333333333333,1.5294117647058825,4.000000000000001,6.142857142857143,0.5585800311411078
